seed,mode,turns,winner,seat
0,vs_proxies,300,Cautious,2
1,vs_proxies,300,BuyAll,0
2,vs_proxies,300,AI 1,2
3,vs_proxies,300,BuyAll,2
4,vs_proxies,300,Cautious,2
5,vs_proxies,300,BuyAll,0
6,vs_proxies,300,BuyAll,3
7,vs_proxies,300,Greedy,0
8,vs_proxies,300,AI 1,0
9,vs_proxies,300,AI 1,3
10,vs_proxies,300,Greedy,1
11,vs_proxies,300,AI 1,1
12,vs_proxies,300,AI 1,0
13,vs_proxies,300,BuyAll,0
14,vs_proxies,300,Cautious,0
15,vs_proxies,300,Greedy,0
16,vs_proxies,300,BuyAll,1
17,vs_proxies,300,Cautious,1
18,vs_proxies,300,BuyAll,3
19,vs_proxies,300,BuyAll,2
20,vs_proxies,300,Greedy,3
21,vs_proxies,300,Greedy,2
22,vs_proxies,300,Cautious,0
23,vs_proxies,300,Cautious,3
24,vs_proxies,300,AI 1,0
25,vs_proxies,300,Greedy,2
26,vs_proxies,300,BuyAll,3
27,vs_proxies,300,Greedy,0
28,vs_proxies,300,Greedy,3
29,vs_proxies,300,BuyAll,0
30,vs_proxies,300,Greedy,1
31,vs_proxies,300,Greedy,0
32,vs_proxies,300,Cautious,2
33,vs_proxies,300,AI 1,3
34,vs_proxies,300,BuyAll,3
35,vs_proxies,300,Cautious,3
36,vs_proxies,300,AI 1,0
37,vs_proxies,300,Cautious,1
38,vs_proxies,300,Cautious,0
39,vs_proxies,300,Greedy,0
40,vs_proxies,300,Greedy,3
41,vs_proxies,300,Greedy,2
42,vs_proxies,300,Greedy,1
43,vs_proxies,300,Greedy,0
44,vs_proxies,300,Cautious,2
45,vs_proxies,300,BuyAll,0
46,vs_proxies,300,Cautious,0
47,vs_proxies,300,AI 1,1
48,vs_proxies,300,AI 1,0
49,vs_proxies,300,Greedy,2
50,vs_proxies,300,Greedy,1
51,vs_proxies,300,Greedy,0
52,vs_proxies,300,BuyAll,1
53,vs_proxies,300,AI 1,3
54,vs_proxies,300,BuyAll,3
55,vs_proxies,300,AI 1,1
56,vs_proxies,300,Greedy,3
57,vs_proxies,300,Cautious,1
58,vs_proxies,300,Cautious,0
59,vs_proxies,300,Greedy,0
60,vs_proxies,300,AI 1,0
61,vs_proxies,300,Greedy,2
62,vs_proxies,300,Cautious,0
63,vs_proxies,300,BuyAll,2
64,vs_proxies,300,Greedy,3
65,vs_proxies,300,Greedy,2
66,vs_proxies,300,AI 1,2
67,vs_proxies,300,Cautious,3
68,vs_proxies,300,Cautious,2
69,vs_proxies,300,Greedy,2
70,vs_proxies,300,BuyAll,3
71,vs_proxies,300,Greedy,0
72,vs_proxies,300,BuyAll,1
73,vs_proxies,300,Cautious,1
74,vs_proxies,300,AI 1,2
75,vs_proxies,300,AI 1,1
76,vs_proxies,300,Cautious,2
77,vs_proxies,300,Greedy,2
78,vs_proxies,300,BuyAll,3
79,vs_proxies,300,AI 1,1
80,vs_proxies,300,Cautious,2
81,vs_proxies,300,Greedy,2
82,vs_proxies,300,Greedy,1
83,vs_proxies,300,Greedy,0
84,vs_proxies,300,AI 1,0
85,vs_proxies,300,Cautious,1
86,vs_proxies,300,Greedy,1
87,vs_proxies,300,Cautious,3
88,vs_proxies,300,Greedy,3
89,vs_proxies,300,BuyAll,0
90,vs_proxies,300,Cautious,0
91,vs_proxies,300,Cautious,3
92,vs_proxies,300,Greedy,3
93,vs_proxies,300,Greedy,2
94,vs_proxies,300,Greedy,1
95,vs_proxies,300,BuyAll,2
96,vs_proxies,300,Greedy,3
97,vs_proxies,300,BuyAll,0
98,vs_proxies,300,AI 1,2
99,vs_proxies,300,BuyAll,2
100,vs_proxies,300,AI 1,0
101,vs_proxies,300,Cautious,1
102,vs_proxies,300,Greedy,1
103,vs_proxies,300,Greedy,0
104,vs_proxies,300,Cautious,2
105,vs_proxies,300,Greedy,2
106,vs_proxies,300,AI 1,2
107,vs_proxies,300,AI 1,1
108,vs_proxies,300,Greedy,3
109,vs_proxies,300,Cautious,1
110,vs_proxies,300,BuyAll,3
111,vs_proxies,300,AI 1,1
112,vs_proxies,300,Greedy,3
113,vs_proxies,300,Greedy,2
114,vs_proxies,300,BuyAll,3
115,vs_proxies,300,AI 1,1
116,vs_proxies,300,Greedy,3
117,vs_proxies,300,AI 1,3
118,vs_proxies,300,AI 1,2
119,vs_proxies,300,Cautious,3
120,vs_proxies,300,BuyAll,1
121,vs_proxies,300,AI 1,3
122,vs_proxies,300,AI 1,2
123,vs_proxies,300,AI 1,1
124,vs_proxies,300,BuyAll,1
125,vs_proxies,300,AI 1,3
126,vs_proxies,300,Greedy,1
127,vs_proxies,300,BuyAll,2
128,vs_proxies,300,Greedy,3
129,vs_proxies,300,Cautious,1
130,vs_proxies,300,Cautious,0
131,vs_proxies,300,Greedy,0
132,vs_proxies,300,Cautious,2
133,vs_proxies,300,Cautious,1
134,vs_proxies,300,Cautious,0
135,vs_proxies,300,BuyAll,2
136,vs_proxies,300,Cautious,2
137,vs_proxies,300,BuyAll,0
138,vs_proxies,300,Cautious,0
139,vs_proxies,300,AI 1,1
140,vs_proxies,300,BuyAll,1
141,vs_proxies,300,BuyAll,0
142,vs_proxies,300,AI 1,2
143,vs_proxies,300,BuyAll,2
144,vs_proxies,300,BuyAll,1
145,vs_proxies,300,BuyAll,0
146,vs_proxies,300,Greedy,1
147,vs_proxies,300,Cautious,3
148,vs_proxies,300,Cautious,2
149,vs_proxies,300,BuyAll,0
150,vs_proxies,300,AI 1,2
151,vs_proxies,300,Cautious,3
152,vs_proxies,300,Cautious,2
153,vs_proxies,300,Cautious,1
154,vs_proxies,300,Greedy,1
155,vs_proxies,300,Cautious,3
156,vs_proxies,300,BuyAll,1
157,vs_proxies,300,Greedy,2
158,vs_proxies,300,Greedy,1
159,vs_proxies,300,BuyAll,2
160,vs_proxies,300,AI 1,0
161,vs_proxies,300,BuyAll,0
162,vs_proxies,300,BuyAll,3
163,vs_proxies,300,BuyAll,2
164,vs_proxies,300,AI 1,0
165,vs_proxies,300,Greedy,2
166,vs_proxies,300,Greedy,1
167,vs_proxies,300,Greedy,0
168,vs_proxies,300,BuyAll,1
169,vs_proxies,300,AI 1,3
170,vs_proxies,300,AI 1,2
171,vs_proxies,300,Greedy,0
172,vs_proxies,300,Cautious,2
173,vs_proxies,300,BuyAll,0
174,vs_proxies,300,Greedy,1
175,vs_proxies,300,Greedy,0
176,vs_proxies,300,BuyAll,1
177,vs_proxies,300,Greedy,2
178,vs_proxies,300,Greedy,1
179,vs_proxies,300,Greedy,0
180,vs_proxies,300,Cautious,2
181,vs_proxies,300,BuyAll,0
182,vs_proxies,300,Cautious,0
183,vs_proxies,300,Greedy,0
184,vs_proxies,300,AI 1,0
185,vs_proxies,300,Cautious,1
186,vs_proxies,300,Cautious,0
187,vs_proxies,300,AI 1,1
188,vs_proxies,300,AI 1,0
189,vs_proxies,300,Cautious,1
190,vs_proxies,300,Cautious,0
191,vs_proxies,300,AI 1,1
192,vs_proxies,300,BuyAll,1
193,vs_proxies,300,Greedy,2
194,vs_proxies,300,Greedy,1
195,vs_proxies,300,BuyAll,2
196,vs_proxies,300,AI 1,0
197,vs_proxies,300,BuyAll,0
198,vs_proxies,300,AI 1,2
199,vs_proxies,300,Cautious,3
200,vs_proxies,300,AI 1,0
201,vs_proxies,300,BuyAll,0
202,vs_proxies,300,Cautious,0
203,vs_proxies,300,Greedy,0
204,vs_proxies,300,Greedy,3
205,vs_proxies,300,BuyAll,0
206,vs_proxies,300,Greedy,1
207,vs_proxies,300,BuyAll,2
208,vs_proxies,300,Greedy,3
209,vs_proxies,300,AI 1,3
210,vs_proxies,300,AI 1,2
211,vs_proxies,300,AI 1,1
212,vs_proxies,300,Cautious,2
213,vs_proxies,300,BuyAll,0
214,vs_proxies,300,Greedy,1
215,vs_proxies,300,AI 1,1
216,vs_proxies,300,Greedy,3
217,vs_proxies,300,Cautious,1
218,vs_proxies,300,Cautious,0
219,vs_proxies,300,AI 1,1
220,vs_proxies,300,Greedy,3
221,vs_proxies,300,Cautious,1
222,vs_proxies,300,Cautious,0
223,vs_proxies,300,Cautious,3
224,vs_proxies,300,Greedy,3
225,vs_proxies,300,BuyAll,0
226,vs_proxies,300,Cautious,0
227,vs_proxies,300,Greedy,0
228,vs_proxies,300,AI 1,0
229,vs_proxies,300,Greedy,2
230,vs_proxies,300,BuyAll,3
231,vs_proxies,300,AI 1,1
232,vs_proxies,300,Cautious,2
233,vs_proxies,300,AI 1,3
234,vs_proxies,300,Greedy,1
235,vs_proxies,300,Cautious,3
236,vs_proxies,300,Cautious,2
237,vs_proxies,300,BuyAll,0
238,vs_proxies,300,Greedy,1
239,vs_proxies,300,BuyAll,2
240,vs_proxies,300,Greedy,3
241,vs_proxies,300,Cautious,1
242,vs_proxies,300,Cautious,0
243,vs_proxies,300,Greedy,0
244,vs_proxies,300,Greedy,3
245,vs_proxies,300,AI 1,3
246,vs_proxies,300,BuyAll,3
247,vs_proxies,300,Cautious,3
248,vs_proxies,300,AI 1,0
249,vs_proxies,300,Cautious,1
250,vs_proxies,300,AI 1,2
251,vs_proxies,300,Greedy,0
252,vs_proxies,300,AI 1,0
253,vs_proxies,300,Greedy,2
254,vs_proxies,300,Greedy,1
255,vs_proxies,300,BuyAll,2
256,vs_proxies,300,BuyAll,1
257,vs_proxies,300,BuyAll,0
258,vs_proxies,300,Cautious,0
259,vs_proxies,300,Greedy,0
260,vs_proxies,300,AI 1,0
261,vs_proxies,300,Greedy,2
262,vs_proxies,300,Cautious,0
263,vs_proxies,300,BuyAll,2
264,vs_proxies,300,Cautious,2
265,vs_proxies,300,BuyAll,0
266,vs_proxies,300,BuyAll,3
267,vs_proxies,300,Greedy,0
268,vs_proxies,300,BuyAll,1
269,vs_proxies,300,AI 1,3
270,vs_proxies,300,Greedy,1
271,vs_proxies,300,Cautious,3
272,vs_proxies,300,Greedy,3
273,vs_proxies,300,Cautious,1
274,vs_proxies,300,AI 1,2
275,vs_proxies,300,Greedy,0
276,vs_proxies,300,BuyAll,1
277,vs_proxies,300,Greedy,2
278,vs_proxies,300,Cautious,0
279,vs_proxies,300,Cautious,3
280,vs_proxies,300,Cautious,2
281,vs_proxies,300,Cautious,1
282,vs_proxies,300,Cautious,0
283,vs_proxies,300,Greedy,0
284,vs_proxies,300,BuyAll,1
285,vs_proxies,300,BuyAll,0
286,vs_proxies,300,BuyAll,3
287,vs_proxies,300,Greedy,0
288,vs_proxies,300,AI 1,0
289,vs_proxies,300,BuyAll,0
290,vs_proxies,300,Greedy,1
291,vs_proxies,300,Cautious,3
292,vs_proxies,300,Cautious,2
293,vs_proxies,300,AI 1,3
294,vs_proxies,300,Greedy,1
295,vs_proxies,300,Greedy,0
296,vs_proxies,300,AI 1,0
297,vs_proxies,300,Cautious,1
298,vs_proxies,300,BuyAll,3
299,vs_proxies,300,BuyAll,2
